profile,beta,h,davies_gap,log_negativity
uniform,0.25,0.0,1.317254,0.000000
uniform,0.25,0.5,1.316424,0.000000
uniform,0.25,1.0,1.313688,-0.000000
uniform,0.25,2.0,1.299828,0.000000
uniform,0.25,4.0,1.227442,0.000000
uniform,0.25,8.0,1.057746,-0.000000
uniform,0.5,0.0,1.349644,0.348796
uniform,0.5,0.5,1.362475,0.344525
uniform,0.5,1.0,1.391838,0.331255
uniform,0.5,2.0,1.420922,0.269322
uniform,0.5,4.0,1.223292,0.050161
uniform,0.5,8.0,1.006944,0.000035
uniform,1.0,0.0,1.107517,0.599852
uniform,1.0,0.5,1.146117,0.632104
uniform,1.0,1.0,1.264297,0.663055
uniform,1.0,2.0,1.281635,0.540269
uniform,1.0,4.0,1.098180,0.056047
uniform,1.0,8.0,1.000035,0.000000
uniform,2.0,0.0,1.021347,0.664978
uniform,2.0,0.5,1.001231,0.840138
uniform,2.0,1.0,1.118743,0.941833
uniform,2.0,2.0,1.109270,0.678464
uniform,2.0,4.0,1.004941,0.022130
uniform,2.0,8.0,1.000000,0.000000
quasiperiodic,0.25,0.0,1.317254,0.000000
quasiperiodic,0.25,0.5,1.798590,-0.000000
quasiperiodic,0.25,1.0,1.769665,0.000000
quasiperiodic,0.25,2.0,1.725310,-0.000000
quasiperiodic,0.25,4.0,1.765411,0.000127
quasiperiodic,0.25,8.0,1.226305,0.001304
quasiperiodic,0.5,0.0,1.349644,0.348796
quasiperiodic,0.5,0.5,1.505944,0.338902
quasiperiodic,0.5,1.0,1.547591,0.312285
quasiperiodic,0.5,2.0,1.421399,0.236045
quasiperiodic,0.5,4.0,1.129797,0.107959
quasiperiodic,0.5,8.0,1.015852,0.021105
quasiperiodic,1.0,0.0,1.107517,0.599852
quasiperiodic,1.0,0.5,1.146784,0.564466
quasiperiodic,1.0,1.0,1.143938,0.480391
quasiperiodic,1.0,2.0,1.072473,0.301057
quasiperiodic,1.0,4.0,1.016056,0.096274
quasiperiodic,1.0,8.0,1.001860,0.026195
quasiperiodic,2.0,0.0,1.021347,0.664978
quasiperiodic,2.0,0.5,1.042099,0.620705
quasiperiodic,2.0,1.0,1.060081,0.510482
quasiperiodic,2.0,2.0,1.041327,0.285917
quasiperiodic,2.0,4.0,1.011880,0.101533
quasiperiodic,2.0,8.0,1.000286,0.050282
random,0.25,0.0,1.317254,0.000000
random,0.25,0.5,1.802064,0.000000
random,0.25,1.0,1.815050,0.000000
random,0.25,2.0,1.830500,-0.000000
random,0.25,4.0,1.883543,-0.000000
random,0.25,8.0,1.684252,0.000542
random,0.5,0.0,1.349644,0.348796
random,0.5,0.5,1.493210,0.346738
random,0.5,1.0,1.526269,0.340798
random,0.5,2.0,1.626051,0.320065
random,0.5,4.0,1.627873,0.266518
random,0.5,8.0,1.143375,0.195736
random,1.0,0.0,1.107517,0.599852
random,1.0,0.5,1.155619,0.604173
random,1.0,1.0,1.232710,0.609450
random,1.0,2.0,1.516524,0.562060
random,1.0,4.0,1.153533,0.380070
random,1.0,8.0,1.016298,0.310310
random,2.0,0.0,1.021347,0.664978
random,2.0,0.5,1.028992,0.716828
random,2.0,1.0,1.056474,0.829989
random,2.0,2.0,1.217457,0.933145
random,2.0,4.0,1.042953,0.408829
random,2.0,8.0,1.005763,0.447527
