profile,n,logneg_mean,logneg_std
uniform,3,0.797821,0.000000
uniform,4,0.713456,0.000000
uniform,5,0.901300,0.000000
uniform,6,0.820150,0.000000
uniform,7,0.795171,0.000000
uniform,8,1.040758,0.000000
quasiperiodic,3,0.528392,0.000000
quasiperiodic,4,0.621375,0.000000
quasiperiodic,5,0.388544,0.000000
quasiperiodic,6,0.606210,0.000000
quasiperiodic,7,0.541994,0.000000
quasiperiodic,8,0.544513,0.000000
random,3,0.628089,0.107842
random,4,0.755062,0.149502
random,5,0.693702,0.145911
random,6,0.847491,0.190957
random,7,0.768634,0.180625
random,8,0.746732,0.102801
