n,c,depth,mass2,var_tot,var_block,var_res,loss_scale
4,1,2,0.15094703581009922,0.4448627351818536,0.0917713406685006,0.3252370145522567,0.23152472449101086
4,2,4,0.10325851555857771,0.3197820995675647,0.07824322878038864,0.23967711128838484,0.21904277877987893
4,deep,8,0.0880316644586083,0.2510169437212866,0.12844216700707578,0.17916465234698462,0.1822753217846051
5,1,3,0.06697613616822115,0.24326880903780743,0.04523867150516779,0.21584633821971755,0.15622273401758816
5,2,5,0.0533314238573292,0.2659957206081941,0.02836709415656763,0.23306768403452502,0.1435040458585275
5,deep,10,0.04384617967579885,0.2552081167659024,0.054274258890176896,0.21487160000490274,0.13431438632159817
6,1,3,0.09304214218962406,0.1436381915858016,0.02408190461705835,0.13894770584815136,0.09696015858718482
6,2,6,0.026426961951540883,0.12851646326025995,0.011368566261808839,0.12350405819058781,0.10048875368737592
6,deep,12,0.01716511388824135,0.1578447015893184,0.008065554557474486,0.15728945256868687,0.10368351561690532
7,1,3,0.03168348655961163,0.15734922707965132,0.02801234844955569,0.13143161677615087,0.11530302169950371
7,2,6,0.02760476553805316,0.09910924960369502,0.013967605369340974,0.07878729434868992,0.0748428670831533
7,deep,14,0.005007920653092879,0.1103511409052654,0.003257743864142893,0.1000798200768557,0.06616499723365209
8,1,3,0.0340057818626506,0.07458456462344151,0.012510910582433884,0.06179619643324154,0.0650890993660513
8,2,6,0.013520080195594426,0.06435677726810446,0.007347556506511638,0.05627609937052022,0.05469024222107746
8,deep,16,0.0021773566196008377,0.060658202869657174,0.0006039654265504503,0.06022329145650169,0.05216407518408568
9,1,4,0.07089882537684622,0.07921817846050433,0.02968645015192074,0.033444770875856206,0.08039570175577443
9,2,7,0.0039985096382843584,0.037412786711592164,0.0018180950593873672,0.03276899882287576,0.04272201030529241
9,deep,18,0.0005722050961292216,0.025469099924010294,0.00021861525485193209,0.023799237424572642,0.035259340335449
