n,progress,step,loss,grad,nstar
6,0.5,3,-1.6079696461239663,6.166073085968246,512
6,0.9,7,-5.691729938246137,2.6987702413553967,512
6,0.95,10,-6.434738662032629,1.590168336375585,512
7,0.5,3,-1.721200412855834,7.684850676929963,512
7,0.9,8,-6.687175600771379,2.635002272470476,512
7,0.95,12,-7.459336710891746,1.2559675509236752,512
8,0.5,3,0.2535441082603054,6.675055928634686,128
8,0.9,10,-7.572692522339416,1.934815853003001,512
8,0.95,20,-8.41402915309182,0.7836493654872535,512
9,0.5,2,-0.4795620105879137,10.376753161615735,512
9,0.9,7,-8.54227800038892,2.9942364790110383,512
9,0.95,11,-9.65493197070154,1.568415230694447,128
10,0.5,3,-4.602350842065119,7.267312029856242,512
10,0.9,7,-9.487928045138112,3.174797898695361,512
10,0.95,11,-10.63015698004699,1.5511125071937757,128
11,0.5,3,-5.134901857629031,7.684586201309435,512
11,0.9,9,-10.537719041125992,2.3668261192913507,512
11,0.95,17,-11.710798415528808,1.1395617627676529,512
12,0.5,2,-2.008687677969141,10.636519928515929,128
12,0.9,8,-11.89422141782758,3.3262409366553505,512
12,0.95,11,-13.009838596497756,1.911636756756984,512
