ham,n,budget,match,e_exact,e_surr,audit
A,6,512,1.0,-6.970485628666893,-6.970484760299783,128
A,6,2048,1.0,-6.970485628666893,-6.970485628666896,128
A,8,512,1.0,-9.316357969046226,-9.315862227472742,128
A,8,2048,1.0,-9.316357969046226,-9.316357969046223,128
A,10,512,1.0,-11.607721171489377,-11.607721171489384,512
A,10,2048,1.0,-11.607721171489377,-11.607721171489384,512
B,6,512,1.0,-6.511612381289691,-6.511612767840063,128
B,6,2048,1.0,-6.511612381289691,-6.511612381289693,128
B,8,512,1.0,-7.37170804078271,-7.371708002534037,128
B,8,2048,1.0,-7.37170804078271,-7.3717080407827105,128
B,10,512,1.0,-10.598039639954038,-10.59803434179866,128
B,10,2048,1.0,-10.598039639954038,-10.598039639954028,128
