p,t,loss,progress,grad,nstar
0.0,0,9.051149205304595,0.0,7.593614313480826,32
0.0,10,-8.495798255489653,0.9520347562869245,1.7622283569251445,512
0.0,30,-9.13661415582783,0.9868031404099386,0.37138414009753623,512
0.0,60,-9.213602549015256,0.9909802559058892,0.11649364292479654,512
0.001,0,8.64551964977669,0.0,7.2507660973607235,32
0.001,10,-8.152992650548933,0.9319374254227617,1.801816789721106,512
0.001,30,-8.814664010917252,0.9686452179363688,0.3638025997574615,512
0.001,60,-8.891831417140565,0.9729262633406639,0.12330022828599622,512
0.01,0,5.707430956452682,0.0,4.84528447884282,32
0.01,10,-5.513044255899921,0.743704492742036,1.8726928120890851,512
0.01,30,-6.422503553709851,0.8039843786601162,0.3591883704157882,32
0.01,60,-6.5259121190222045,0.8108384033921651,0.20159819975125357,32
0.03,0,2.23113670317699,0.0,2.1508130409520296,32
0.03,10,-1.6463757533948882,0.3339521515794514,2.2439817999187257,128
0.03,30,-3.110088515094424,0.4600149383631255,0.6114733340946684,128
0.03,60,-3.352915354549905,0.4809284870378575,0.2744646507805726,128
